Feature Table,,,,,,,
Length Units,Millimeters,,,,,,
Coordinate Systems,world,,,,,,
Data Alignments,"plane, axis, center point 1",,,,,,
,,,,,,,
Name,Control,Nom,Meas,Tol,Dev,Test,Out Tol
insert 98,Y,83.263,83.324,"±1,000",0.061,Pass,
insert 98,Z,5.625,6.189,"±1,000",0.564,Pass,
insert 99,X,-313.281,-313.355,"±1,000",-0.074,Pass,
insert 99,Y,62.116,62.231,"±1,000",0.115,Pass,
insert 99,Z,5.625,6.225,"±1,000",0.600,Pass,
insert 100,X,293.649,293.563,"±1,000",-0.086,Pass,
insert 100,Y,-16.770,-16.681,"±1,000",0.089,Pass,
insert 100,Z,5.625,6.254,"±1,000",0.629,Pass,
insert 101,X,274.094,274.012,"±1,000",-0.082,Pass,
insert 101,Y,106.691,106.745,"±1,000",0.054,Pass,
insert 101,Z,5.625,6.798,"±1,000",1.173,Fail,0.173
insert 102,X,219.515,219.460,"±1,000",-0.055,Pass,
insert 102,Y,98.047,98.075,"±1,000",0.028,Pass,
insert 102,Z,5.625,6.218,"±1,000",0.593,Pass,
insert 103,X,247.424,247.358,"±1,000",-0.066,Pass,
insert 103,Y,159.035,159.088,"±1,000",0.053,Pass,
insert 103,Z,5.625,6.719,"±1,000",1.094,Fail,0.094
insert 104,X,159.035,158.966,"±1,000",-0.069,Pass,
insert 104,Y,247.424,247.511,"±1,000",0.087,Pass,
insert 104,Z,5.625,6.818,"±1,000",1.193,Fail,0.193
insert 105,X,119.961,119.858,"±1,000",-0.103,Pass,
insert 105,Y,208.349,208.355,"±1,000",0.006,Pass,
insert 105,Z,5.625,6.337,"±1,000",0.712,Pass,
insert 106,X,106.691,107.483,"±1,000",0.792,Pass,
insert 106,Y,274.094,272.641,"±1,000",-1.453,Fail,-0.453
insert 106,Z,5.625,7.158,"±1,000",1.533,Fail,0.533
insert 107,X,-16.770,-16.821,"±1,000",-0.051,Pass,
insert 107,Y,293.649,293.601,"±1,000",-0.048,Pass,
insert 107,Z,5.625,6.326,"±1,000",0.701,Pass,
insert 108,X,-25.414,-25.434,"±1,000",-0.020,Pass,
insert 108,Y,239.069,239.068,"±1,000",-0.001,Pass,
insert 108,Z,5.625,6.563,"±1,000",0.938,Pass,
insert 109,X,-74.794,-74.846,"±1,000",-0.052,Pass,
insert 109,Y,284.459,284.449,"±1,000",-0.010,Pass,
insert 109,Z,5.625,6.648,"±1,000",1.023,Fail,0.023
insert 110,X,-186.169,-186.192,"±1,000",-0.023,Pass,
insert 110,Y,227.710,227.716,"±1,000",0.006,Pass,
insert 110,Z,5.625,6.512,"±1,000",0.887,Pass,
insert 111,X,-161.082,-161.122,"±1,000",-0.040,Pass,
insert 111,Y,178.473,178.501,"±1,000",0.028,Pass,
insert 111,Z,5.625,6.639,"±1,000",1.014,Fail,0.014
insert 112,X,-227.710,-227.777,"±1,000",-0.067,Pass,
insert 112,Y,186.169,186.227,"±1,000",0.058,Pass,
insert 112,Z,5.625,6.704,"±1,000",1.079,Fail,0.079
insert 113,X,-284.459,-284.450,"±1,000",0.009,Pass,
insert 113,Y,74.794,74.842,"±1,000",0.048,Pass,
insert 113,Z,5.625,6.473,"±1,000",0.848,Pass,
insert 114,X,-235.222,-235.267,"±1,000",-0.045,Pass,
insert 114,Y,49.706,49.723,"±1,000",0.017,Pass,
insert 114,Z,5.625,6.574,"±1,000",0.949,Pass,



